frame,elapsed_s,total_ms,det_ms,recog_ms,had_face
1,0.142,0.0,0.0,0.0,0
2,0.16,0.0,0.0,0.0,0
3,0.178,0.0,0.0,0.0,0
4,0.197,0.0,0.0,0.0,0
5,0.214,0.0,0.0,0.0,0
6,0.234,0.0,0.0,0.0,0
7,0.253,0.0,0.0,0.0,0
8,0.273,0.0,0.0,0.0,0
9,0.291,0.0,0.0,0.0,0
10,0.311,0.0,0.0,0.0,0
11,0.331,0.0,0.0,0.0,0
12,0.35,0.0,0.0,0.0,0
13,0.367,0.0,0.0,0.0,0
14,0.384,0.0,0.0,0.0,0
15,0.403,0.0,0.0,0.0,0
16,0.423,0.0,0.0,0.0,0
17,0.441,0.0,0.0,0.0,0
18,0.459,0.0,0.0,0.0,0
19,0.477,0.0,0.0,0.0,0
20,0.497,0.0,0.0,0.0,0
21,0.514,0.0,0.0,0.0,0
22,0.532,0.0,0.0,0.0,0
23,0.55,0.0,0.0,0.0,0
24,0.567,0.0,0.0,0.0,0
25,0.585,0.0,0.0,0.0,0
26,0.604,0.0,0.0,0.0,0
27,0.625,0.0,0.0,0.0,0
28,0.642,0.0,0.0,0.0,0
29,0.661,0.0,0.0,0.0,0
30,0.679,0.0,0.0,0.0,0
31,0.697,0.0,0.0,0.0,0
32,0.713,0.0,0.0,0.0,0
33,0.731,0.0,0.0,0.0,0
34,0.763,0.0,0.0,0.0,0
35,0.782,0.0,0.0,0.0,0
36,0.799,0.0,0.0,0.0,0
37,0.816,0.0,0.0,0.0,0
38,0.833,0.0,0.0,0.0,0
39,0.85,0.0,0.0,0.0,0
40,0.87,0.0,0.0,0.0,0
41,0.887,0.0,0.0,0.0,0
42,0.926,0.0,0.0,0.0,0
43,0.943,0.0,0.0,0.0,0
44,0.972,0.0,0.0,0.0,0
45,0.989,0.0,0.0,0.0,0
46,1.017,0.0,0.0,0.0,0
47,1.033,0.0,0.0,0.0,0
48,1.063,0.0,0.0,0.0,0
49,1.081,0.0,0.0,0.0,0
50,1.11,0.0,0.0,0.0,0
51,1.127,0.0,0.0,0.0,0
52,1.144,0.0,0.0,0.0,0
53,1.16,0.0,0.0,0.0,0
54,1.189,0.0,0.0,0.0,0
55,1.206,0.0,0.0,0.0,0
56,1.224,0.0,0.0,0.0,0
57,1.24,0.0,0.0,0.0,0
58,1.27,0.0,0.0,0.0,0
59,1.287,0.0,0.0,0.0,0
60,1.304,0.0,0.0,0.0,0
61,1.322,0.0,0.0,0.0,0
62,1.339,0.0,0.0,0.0,0
63,1.355,0.0,0.0,0.0,0
64,1.372,0.0,0.0,0.0,0
65,1.402,0.0,0.0,0.0,0
66,1.42,0.0,0.0,0.0,0
67,1.439,0.0,0.0,0.0,0
68,1.456,0.0,0.0,0.0,0
69,1.473,0.0,0.0,0.0,0
70,1.49,0.0,0.0,0.0,0
71,1.508,0.0,0.0,0.0,0
72,1.537,0.0,0.0,0.0,0
73,1.565,0.0,0.0,0.0,0
74,1.582,0.0,0.0,0.0,0
75,1.599,0.0,0.0,0.0,0
76,1.616,0.0,0.0,0.0,0
77,1.645,0.0,0.0,0.0,0
78,1.664,0.0,0.0,0.0,0
79,1.682,0.0,0.0,0.0,0
80,1.699,0.0,0.0,0.0,0
81,1.717,0.0,0.0,0.0,0
82,1.735,0.0,0.0,0.0,0
83,1.754,0.0,0.0,0.0,0
84,1.771,0.0,0.0,0.0,0
85,1.789,0.0,0.0,0.0,0
86,1.807,0.0,0.0,0.0,0
87,1.825,0.0,0.0,0.0,0
88,1.842,0.0,0.0,0.0,0
89,1.863,0.0,0.0,0.0,0
90,1.882,0.0,0.0,0.0,0
91,1.899,0.0,0.0,0.0,0
92,1.915,0.0,0.0,0.0,0
93,1.945,0.0,0.0,0.0,0
94,1.962,0.0,0.0,0.0,0
95,1.979,0.0,0.0,0.0,0
96,2.007,0.0,0.0,0.0,0
97,2.038,0.0,0.0,0.0,0
98,2.056,0.0,0.0,0.0,0
99,2.074,0.0,0.0,0.0,0
100,2.091,0.0,0.0,0.0,0
101,2.11,0.0,0.0,0.0,0
102,2.126,0.0,0.0,0.0,0
103,2.144,0.0,0.0,0.0,0
104,2.162,0.0,0.0,0.0,0
105,2.185,0.0,0.0,0.0,0
106,2.205,0.0,0.0,0.0,0
107,2.223,0.0,0.0,0.0,0
108,2.251,0.0,0.0,0.0,0
109,2.268,0.0,0.0,0.0,0
110,2.296,0.0,0.0,0.0,0
111,2.324,0.0,0.0,0.0,0
112,2.352,0.0,0.0,0.0,0
113,2.38,0.0,0.0,0.0,0
114,2.397,0.0,0.0,0.0,0
115,2.414,0.0,0.0,0.0,0
116,2.443,0.0,0.0,0.0,0
117,2.471,0.0,0.0,0.0,0
118,2.498,0.0,0.0,0.0,0
119,2.527,0.0,0.0,0.0,0
120,2.556,0.0,0.0,0.0,0
121,2.584,0.0,0.0,0.0,0
122,2.613,0.0,0.0,0.0,0
123,2.641,0.0,0.0,0.0,0
124,2.669,0.0,0.0,0.0,0
125,2.697,0.0,0.0,0.0,0
126,2.714,0.0,0.0,0.0,0
127,2.743,0.0,0.0,0.0,0
128,2.759,0.0,0.0,0.0,0
129,2.787,0.0,0.0,0.0,0
130,2.805,0.0,0.0,0.0,0
131,2.822,0.0,0.0,0.0,0
132,2.852,0.0,0.0,0.0,0
133,2.869,0.0,0.0,0.0,0
134,2.888,0.0,0.0,0.0,0
135,2.916,0.0,0.0,0.0,0
136,2.933,0.0,0.0,0.0,0
137,2.952,0.0,0.0,0.0,0
138,2.968,0.0,0.0,0.0,0
139,2.997,0.0,0.0,0.0,0
140,3.026,0.0,0.0,0.0,0
141,3.054,0.0,0.0,0.0,0
142,3.083,0.0,0.0,0.0,0
143,3.114,2333.02,2285.64,46.38,1
144,3.139,2333.02,2285.64,46.38,1
145,3.156,2333.02,2285.64,46.38,1
146,3.185,2333.02,2285.64,46.38,1
147,3.201,2333.02,2285.64,46.38,1
148,3.23,2333.02,2285.64,46.38,1
149,3.247,2333.02,2285.64,46.38,1
150,3.281,186.22,138.2,47.02,1
151,3.296,186.22,138.2,47.02,1
152,3.325,186.22,138.2,47.02,1
153,3.353,186.22,138.2,47.02,1
154,3.371,186.22,138.2,47.02,1
155,3.4,186.22,138.2,47.02,1
156,3.428,186.22,138.2,47.02,1
157,3.461,174.22,129.14,45.08,1
158,3.478,174.22,129.14,45.08,1
159,3.506,174.22,129.14,45.08,1
160,3.534,174.22,129.14,45.08,1
161,3.563,174.22,129.14,45.08,1
162,3.59,174.22,129.14,45.08,1
163,3.617,174.22,129.14,45.08,1
164,3.638,175.52,129.55,45.98,1
165,3.654,175.52,129.55,45.98,1
166,3.681,175.52,129.55,45.98,1
167,3.711,175.52,129.55,45.98,1
168,3.739,175.52,129.55,45.98,1
169,3.767,175.52,129.55,45.98,1
170,3.784,175.52,129.55,45.98,1
171,3.816,180.7,133.62,46.07,1
172,3.833,180.7,133.62,46.07,1
173,3.85,180.7,133.62,46.07,1
174,3.867,180.7,133.62,46.07,1
175,3.884,180.7,133.62,46.07,1
176,3.901,180.7,133.62,46.07,1
177,3.919,180.7,133.62,46.07,1
178,3.937,180.7,133.62,46.07,1
179,3.954,180.7,133.62,46.07,1
180,3.98,180.7,133.62,46.07,1
181,4.011,180.44,132.98,46.32,1
182,4.027,180.44,132.98,46.32,1
183,4.055,180.44,132.98,46.32,1
184,4.083,180.44,132.98,46.32,1
185,4.112,180.44,132.98,46.32,1
186,4.14,180.44,132.98,46.32,1
187,4.169,170.9,125.23,44.66,1
188,4.189,170.9,125.23,44.66,1
189,4.206,170.9,125.23,44.66,1
190,4.223,170.9,125.23,44.66,1
191,4.252,170.9,125.23,44.66,1
192,4.269,170.9,125.23,44.66,1
193,4.286,170.9,125.23,44.66,1
194,4.315,170.9,125.23,44.66,1
195,4.347,169.59,122.31,45.97,1
196,4.363,169.59,122.31,45.97,1
197,4.379,169.59,122.31,45.97,1
198,4.407,169.59,122.31,45.97,1
199,4.436,169.59,122.31,45.97,1
200,4.465,169.59,122.31,45.97,1
201,4.494,169.59,122.31,45.97,1
202,4.51,169.59,122.31,45.97,1
203,4.542,169.72,123.69,45.04,1
204,4.558,169.72,123.69,45.04,1
205,4.575,169.72,123.69,45.04,1
206,4.604,169.72,123.69,45.04,1
207,4.634,169.72,123.69,45.04,1
208,4.663,169.72,123.69,45.04,1
209,4.694,171.78,125.1,45.68,1
210,4.712,171.78,125.1,45.68,1
211,4.74,171.78,125.1,45.68,1
212,4.768,171.78,125.1,45.68,1
213,4.786,171.78,125.1,45.68,1
214,4.813,171.78,125.1,45.68,1
215,4.843,171.78,125.1,45.68,1
216,4.86,171.78,125.1,45.68,1
217,4.877,171.78,125.1,45.68,1
218,4.907,191.71,122.15,68.56,1
219,4.924,191.71,122.15,68.56,1
220,4.952,191.71,122.15,68.56,1
221,4.981,191.71,122.15,68.56,1
222,5.009,191.71,122.15,68.56,1
223,5.036,191.71,122.15,68.56,1
224,5.064,191.71,122.15,68.56,1
225,5.096,192.85,124.82,66.52,1
226,5.113,192.85,124.82,66.52,1
227,5.141,192.85,124.82,66.52,1
228,5.168,192.85,124.82,66.52,1
229,5.195,192.85,124.82,66.52,1
230,5.223,192.85,124.82,66.52,1
231,5.251,192.85,124.82,66.52,1
232,5.272,173.6,128.1,44.45,1
233,5.287,173.6,128.1,44.45,1
234,5.316,173.6,128.1,44.45,1
235,5.343,173.6,128.1,44.45,1
236,5.37,173.6,128.1,44.45,1
237,5.399,173.6,128.1,44.45,1
238,5.428,173.6,128.1,44.45,1
239,5.46,182.14,135.01,46.04,1
240,5.476,182.14,135.01,46.04,1
241,5.493,182.14,135.01,46.04,1
242,5.51,182.14,135.01,46.04,1
243,5.527,182.14,135.01,46.04,1
244,5.556,182.14,135.01,46.04,1
245,5.574,182.14,135.01,46.04,1
246,5.6,182.14,135.01,46.04,1
247,5.634,184.7,138.97,45.73,1
248,5.65,184.7,138.97,45.73,1
249,5.678,184.7,138.97,45.73,1
250,5.706,184.7,138.97,45.73,1
251,5.727,184.7,138.97,45.73,1
252,5.75,184.7,138.97,45.73,1
253,5.769,184.7,138.97,45.73,1
254,5.788,184.7,138.97,45.73,1
255,5.805,184.7,138.97,45.73,1
256,5.823,184.7,138.97,45.73,1
257,5.855,200.57,152.65,47.91,1
258,5.873,200.57,152.65,47.91,1
259,5.889,200.57,152.65,47.91,1
260,5.917,200.57,152.65,47.91,1
261,5.935,200.57,152.65,47.91,1
262,5.953,200.57,152.65,47.91,1
263,5.969,200.57,152.65,47.91,1
264,5.998,200.57,152.65,47.91,1
265,6.017,200.57,152.65,47.91,1
266,6.034,198.35,152.82,45.53,1
267,6.055,198.35,152.82,45.53,1
268,6.072,198.35,152.82,45.53,1
269,6.089,198.35,152.82,45.53,1
270,6.107,198.35,152.82,45.53,1
271,6.124,198.35,152.82,45.53,1
272,6.141,198.35,152.82,45.53,1
273,6.171,198.35,152.82,45.53,1
274,6.199,198.35,152.82,45.53,1
275,6.218,198.35,152.82,45.53,1
276,6.234,198.35,152.82,45.53,1
277,6.255,200.0,154.35,45.65,1
278,6.273,200.0,154.35,45.65,1
279,6.289,200.0,154.35,45.65,1
280,6.317,200.0,154.35,45.65,1
281,6.336,200.0,154.35,45.65,1
282,6.353,200.0,154.35,45.65,1
283,6.37,200.0,154.35,45.65,1
284,6.398,200.0,154.35,45.65,1
285,6.427,200.0,154.35,45.65,1
286,6.445,200.0,154.35,45.65,1
287,6.479,228.86,160.49,68.38,1
288,6.586,228.86,160.49,68.38,1
289,6.614,228.86,160.49,68.38,1
290,6.635,228.86,160.49,68.38,1
291,6.655,228.86,160.49,68.38,1
292,6.671,228.86,160.49,68.38,1
293,6.689,228.86,160.49,68.38,1
294,6.707,228.86,160.49,68.38,1
295,6.728,235.58,162.9,71.68,1
296,6.743,235.58,162.9,71.68,1
297,6.76,235.58,162.9,71.68,1
298,6.778,235.58,162.9,71.68,1
299,6.795,235.58,162.9,71.68,1
300,6.812,235.58,162.9,71.68,1
301,6.841,235.58,162.9,71.68,1
302,6.857,235.58,162.9,71.68,1
303,6.875,235.58,162.9,71.68,1
304,6.903,235.58,162.9,71.68,1
305,6.921,235.58,162.9,71.68,1
306,6.939,235.58,162.9,71.68,1
307,6.967,235.58,162.9,71.68,1
308,6.986,235.58,162.9,71.68,1
309,7.01,288.24,176.8,111.44,1
310,7.028,288.24,176.8,111.44,1
311,7.056,288.24,176.8,111.44,1
312,7.085,288.24,176.8,111.44,1
313,7.103,288.24,176.8,111.44,1
314,7.119,288.24,176.8,111.44,1
315,7.147,288.24,176.8,111.44,1
316,7.165,288.24,176.8,111.44,1
317,7.182,288.24,176.8,111.44,1
318,7.201,288.24,176.8,111.44,1
319,7.219,288.24,176.8,111.44,1
320,7.236,288.24,176.8,111.44,1
321,7.255,288.24,176.8,111.44,1
322,7.27,288.24,176.8,111.44,1
323,7.294,275.76,178.15,96.61,1
324,7.311,275.76,178.15,96.61,1
325,7.329,275.76,178.15,96.61,1
326,7.347,275.76,178.15,96.61,1
327,7.367,275.76,178.15,96.61,1
328,7.386,275.76,178.15,96.61,1
329,7.404,275.76,178.15,96.61,1
330,7.422,275.76,178.15,96.61,1
331,7.439,275.76,178.15,96.61,1
332,7.456,275.76,178.15,96.61,1
333,7.473,275.76,178.15,96.61,1
334,7.491,275.76,178.15,96.61,1
335,7.52,275.76,178.15,96.61,1
336,7.537,275.76,178.15,96.61,1
337,7.572,272.47,178.67,92.76,1
338,7.59,272.47,178.67,92.76,1
339,7.606,272.47,178.67,92.76,1
340,7.623,272.47,178.67,92.76,1
341,7.641,272.47,178.67,92.76,1
342,7.668,272.47,178.67,92.76,1
343,7.686,272.47,178.67,92.76,1
344,7.703,272.47,178.67,92.76,1
345,7.72,272.47,178.67,92.76,1
346,7.75,272.47,178.67,92.76,1
347,7.768,272.47,178.67,92.76,1
348,7.796,272.47,178.67,92.76,1
349,7.821,246.4,176.43,69.97,1
350,7.839,246.4,176.43,69.97,1
351,7.858,246.4,176.43,69.97,1
352,7.874,246.4,176.43,69.97,1
353,7.892,246.4,176.43,69.97,1
354,7.908,246.4,176.43,69.97,1
355,7.925,246.4,176.43,69.97,1
356,7.942,246.4,176.43,69.97,1
357,7.96,246.4,176.43,69.97,1
358,7.976,246.4,176.43,69.97,1
359,7.994,246.4,176.43,69.97,1
360,8.022,246.4,176.43,69.97,1
361,8.04,246.4,176.43,69.97,1
362,8.058,246.4,176.43,69.97,1
363,8.076,265.94,172.5,93.44,1
364,8.1,265.94,172.5,93.44,1
365,8.117,265.94,172.5,93.44,1
366,8.134,265.94,172.5,93.44,1
367,8.151,265.94,172.5,93.44,1
368,8.169,265.94,172.5,93.44,1
369,8.186,265.94,172.5,93.44,1
370,8.213,265.94,172.5,93.44,1
371,8.231,265.94,172.5,93.44,1
372,8.25,265.94,172.5,93.44,1
373,8.266,265.94,172.5,93.44,1
374,8.284,265.94,172.5,93.44,1
375,8.301,265.94,172.5,93.44,1
376,8.33,248.15,153.76,93.16,1
377,8.353,248.15,153.76,93.16,1
378,8.368,248.15,153.76,93.16,1
379,8.386,248.15,153.76,93.16,1
380,8.403,248.15,153.76,93.16,1
381,8.43,248.15,153.76,93.16,1
382,8.448,248.15,153.76,93.16,1
383,8.468,248.15,153.76,93.16,1
384,8.483,248.15,153.76,93.16,1
385,8.502,248.15,153.76,93.16,1
386,8.518,248.15,153.76,93.16,1
387,8.551,195.38,146.29,46.85,1
388,8.568,195.38,146.29,46.85,1
389,8.586,195.38,146.29,46.85,1
390,8.604,195.38,146.29,46.85,1
391,8.621,195.38,146.29,46.85,1
392,8.639,195.38,146.29,46.85,1
393,8.654,195.38,146.29,46.85,1
394,8.673,195.38,146.29,46.85,1
395,8.706,159.54,136.47,23.07,1
396,8.724,159.54,136.47,23.07,1
397,8.742,159.54,136.47,23.07,1
398,8.77,159.54,136.47,23.07,1
399,8.787,159.54,136.47,23.07,1
400,8.805,159.54,136.47,23.07,1
401,8.821,159.54,136.47,23.07,1
402,8.84,159.54,136.47,23.07,1
403,8.858,159.54,136.47,23.07,1
404,8.875,159.54,136.47,23.07,1
405,8.895,185.69,138.73,45.95,1
406,8.914,185.69,138.73,45.95,1
407,8.932,185.69,138.73,45.95,1
408,8.95,185.69,138.73,45.95,1
409,8.967,185.69,138.73,45.95,1
410,8.996,185.69,138.73,45.95,1
411,9.014,185.69,138.73,45.95,1
412,9.032,185.69,138.73,45.95,1
413,9.061,185.69,138.73,45.95,1
414,9.084,191.16,143.6,45.56,1
415,9.101,191.16,143.6,45.56,1
416,9.119,191.16,143.6,45.56,1
417,9.136,191.16,143.6,45.56,1
418,9.153,191.16,143.6,45.56,1
419,9.17,191.16,143.6,45.56,1
420,9.189,191.16,143.6,45.56,1
421,9.204,191.16,143.6,45.56,1
422,9.234,191.16,143.6,45.56,1
423,9.263,191.16,143.6,45.56,1
424,9.279,191.16,143.6,45.56,1
425,9.298,223.98,154.98,68.0,1
426,9.32,223.98,154.98,68.0,1
427,9.337,223.98,154.98,68.0,1
428,9.355,223.98,154.98,68.0,1
429,9.373,223.98,154.98,68.0,1
430,9.39,223.98,154.98,68.0,1
431,9.419,223.98,154.98,68.0,1
432,9.436,223.98,154.98,68.0,1
433,9.465,223.98,154.98,68.0,1
434,9.484,223.98,154.98,68.0,1
435,9.502,223.98,154.98,68.0,1
436,9.519,223.98,154.98,68.0,1
437,9.537,223.98,154.98,68.0,1
438,9.554,223.98,154.98,68.0,1
439,9.573,223.98,154.98,68.0,1
440,9.595,276.02,160.84,114.18,1
441,9.611,276.02,160.84,114.18,1
442,9.628,276.02,160.84,114.18,1
443,9.647,276.02,160.84,114.18,1
444,9.666,276.02,160.84,114.18,1
445,9.683,276.02,160.84,114.18,1
446,9.701,276.02,160.84,114.18,1
447,9.718,276.02,160.84,114.18,1
448,9.735,276.02,160.84,114.18,1
449,9.753,276.02,160.84,114.18,1
450,9.772,276.02,160.84,114.18,1
451,9.789,276.02,160.84,114.18,1
452,9.806,276.02,160.84,114.18,1
453,9.823,276.02,160.84,114.18,1
454,9.84,276.02,160.84,114.18,1
455,9.87,276.02,160.84,114.18,1
456,9.891,288.48,172.97,114.51,1
457,9.908,288.48,172.97,114.51,1
458,9.926,288.48,172.97,114.51,1
459,9.954,288.48,172.97,114.51,1
460,9.983,288.48,172.97,114.51,1
461,10.0,288.48,172.97,114.51,1
462,10.029,288.48,172.97,114.51,1
463,10.058,288.48,172.97,114.51,1
464,10.076,288.48,172.97,114.51,1
465,10.093,288.48,172.97,114.51,1
466,10.111,288.48,172.97,114.51,1
467,10.134,241.11,170.51,69.12,1
468,10.152,241.11,170.51,69.12,1
469,10.181,241.11,170.51,69.12,1
470,10.198,241.11,170.51,69.12,1
471,10.216,241.11,170.51,69.12,1
472,10.233,241.11,170.51,69.12,1
473,10.251,241.11,170.51,69.12,1
474,10.269,241.11,170.51,69.12,1
475,10.297,241.11,170.51,69.12,1
476,10.316,241.11,170.51,69.12,1
477,10.333,241.11,170.51,69.12,1
478,10.351,241.11,170.51,69.12,1
479,10.369,251.62,179.47,69.52,1
480,10.401,251.62,179.47,69.52,1
481,10.418,251.62,179.47,69.52,1
482,10.448,251.62,179.47,69.52,1
483,10.476,251.62,179.47,69.52,1
484,10.494,251.62,179.47,69.52,1
485,10.513,251.62,179.47,69.52,1
486,10.531,251.62,179.47,69.52,1
487,10.549,251.62,179.47,69.52,1
488,10.566,251.62,179.47,69.52,1
489,10.595,251.62,179.47,69.52,1
490,10.617,231.53,161.82,69.71,1
491,10.635,231.53,161.82,69.71,1
492,10.652,231.53,161.82,69.71,1
493,10.68,231.53,161.82,69.71,1
494,10.699,231.53,161.82,69.71,1
495,10.716,231.53,161.82,69.71,1
496,10.745,231.53,161.82,69.71,1
497,10.773,231.53,161.82,69.71,1
498,10.791,231.53,161.82,69.71,1
499,10.82,231.53,161.82,69.71,1
500,10.839,231.53,161.82,69.71,1
501,10.861,230.96,160.92,69.04,1
502,10.877,230.96,160.92,69.04,1
503,10.896,230.96,160.92,69.04,1
504,10.913,230.96,160.92,69.04,1
505,10.932,230.96,160.92,69.04,1
506,10.949,230.96,160.92,69.04,1
507,10.966,230.96,160.92,69.04,1
508,10.995,230.96,160.92,69.04,1
509,11.012,230.96,160.92,69.04,1
510,11.028,230.96,160.92,69.04,1
511,11.047,230.96,160.92,69.04,1
512,11.066,230.96,160.92,69.04,1
513,11.088,231.01,160.35,70.66,1
514,11.106,231.01,160.35,70.66,1
515,11.123,231.01,160.35,70.66,1
516,11.14,231.01,160.35,70.66,1
517,11.169,231.01,160.35,70.66,1
518,11.197,231.01,160.35,70.66,1
519,11.214,231.01,160.35,70.66,1
520,11.232,231.01,160.35,70.66,1
521,11.248,231.01,160.35,70.66,1
522,11.265,231.01,160.35,70.66,1
523,11.283,231.01,160.35,70.66,1
524,11.3,231.01,160.35,70.66,1
525,11.323,233.11,162.89,69.19,1
526,11.341,233.11,162.89,69.19,1
527,11.358,233.11,162.89,69.19,1
528,11.375,233.11,162.89,69.19,1
529,11.392,233.11,162.89,69.19,1
530,11.409,233.11,162.89,69.19,1
531,11.427,233.11,162.89,69.19,1
532,11.446,233.11,162.89,69.19,1
533,11.464,233.11,162.89,69.19,1
534,11.482,233.11,162.89,69.19,1
535,11.564,228.14,158.62,67.31,1
536,11.588,228.14,158.62,67.31,1
537,11.615,228.14,158.62,67.31,1
538,11.644,228.14,158.62,67.31,1
539,11.662,228.14,158.62,67.31,1
540,11.679,228.14,158.62,67.31,1
541,11.697,228.14,158.62,67.31,1
542,11.725,228.14,158.62,67.31,1
543,11.753,228.14,158.62,67.31,1
544,11.782,228.14,158.62,67.31,1
545,11.813,236.26,167.87,68.39,1
546,11.829,236.26,167.87,68.39,1
547,11.847,236.26,167.87,68.39,1
548,11.864,236.26,167.87,68.39,1
549,11.894,236.26,167.87,68.39,1
550,11.922,236.26,167.87,68.39,1
551,11.951,236.26,167.87,68.39,1
552,11.979,236.26,167.87,68.39,1
553,12.006,236.26,167.87,68.39,1
554,12.036,230.35,162.21,68.14,1
555,12.053,230.35,162.21,68.14,1
556,12.082,230.35,162.21,68.14,1
557,12.109,230.35,162.21,68.14,1
558,12.139,230.35,162.21,68.14,1
559,12.168,230.35,162.21,68.14,1
560,12.196,230.35,162.21,68.14,1
561,12.214,230.35,162.21,68.14,1
562,12.231,230.35,162.21,68.14,1
563,12.259,230.35,162.21,68.14,1
564,12.28,236.84,164.9,70.84,1
565,12.295,236.84,164.9,70.84,1
566,12.323,236.84,164.9,70.84,1
567,12.353,236.84,164.9,70.84,1
568,12.38,236.84,164.9,70.84,1
569,12.408,236.84,164.9,70.84,1
570,12.437,236.84,164.9,70.84,1
571,12.455,236.84,164.9,70.84,1
572,12.471,236.84,164.9,70.84,1
573,12.499,236.84,164.9,70.84,1
574,12.536,238.4,167.69,70.71,1
