frame,elapsed_s,total_ms,det_ms,recog_ms,had_face
1,0.145,0.0,0.0,0.0,0
2,0.172,0.0,0.0,0.0,0
3,0.193,0.0,0.0,0.0,0
4,0.213,0.0,0.0,0.0,0
5,0.231,0.0,0.0,0.0,0
6,0.25,0.0,0.0,0.0,0
7,0.27,0.0,0.0,0.0,0
8,0.29,0.0,0.0,0.0,0
9,0.311,0.0,0.0,0.0,0
10,0.33,0.0,0.0,0.0,0
11,0.349,0.0,0.0,0.0,0
12,0.38,0.0,0.0,0.0,0
13,0.399,0.0,0.0,0.0,0
14,0.421,0.0,0.0,0.0,0
15,0.439,0.0,0.0,0.0,0
16,0.458,0.0,0.0,0.0,0
17,0.478,0.0,0.0,0.0,0
18,0.498,0.0,0.0,0.0,0
19,0.517,0.0,0.0,0.0,0
20,0.534,0.0,0.0,0.0,0
21,0.565,0.0,0.0,0.0,0
22,0.581,0.0,0.0,0.0,0
23,0.601,0.0,0.0,0.0,0
24,0.618,0.0,0.0,0.0,0
25,0.637,0.0,0.0,0.0,0
26,0.658,0.0,0.0,0.0,0
27,0.677,0.0,0.0,0.0,0
28,0.693,0.0,0.0,0.0,0
29,0.712,0.0,0.0,0.0,0
30,0.741,0.0,0.0,0.0,0
31,0.757,0.0,0.0,0.0,0
32,0.775,0.0,0.0,0.0,0
33,0.794,0.0,0.0,0.0,0
34,0.812,0.0,0.0,0.0,0
35,0.83,0.0,0.0,0.0,0
36,0.847,0.0,0.0,0.0,0
37,0.867,0.0,0.0,0.0,0
38,0.884,0.0,0.0,0.0,0
39,0.902,0.0,0.0,0.0,0
40,0.919,0.0,0.0,0.0,0
41,0.939,0.0,0.0,0.0,0
42,0.958,0.0,0.0,0.0,0
43,0.978,0.0,0.0,0.0,0
44,0.997,0.0,0.0,0.0,0
45,1.015,0.0,0.0,0.0,0
46,1.033,0.0,0.0,0.0,0
47,1.061,0.0,0.0,0.0,0
48,1.09,0.0,0.0,0.0,0
49,1.108,0.0,0.0,0.0,0
50,1.126,0.0,0.0,0.0,0
51,1.151,0.0,0.0,0.0,0
52,1.169,0.0,0.0,0.0,0
53,1.188,0.0,0.0,0.0,0
54,1.208,0.0,0.0,0.0,0
55,1.227,0.0,0.0,0.0,0
56,1.244,0.0,0.0,0.0,0
57,1.262,0.0,0.0,0.0,0
58,1.282,0.0,0.0,0.0,0
59,1.3,0.0,0.0,0.0,0
60,1.319,0.0,0.0,0.0,0
61,1.337,0.0,0.0,0.0,0
62,1.357,0.0,0.0,0.0,0
63,1.374,0.0,0.0,0.0,0
64,1.393,0.0,0.0,0.0,0
65,1.412,0.0,0.0,0.0,0
66,1.438,270.67,98.2,170.95,1
67,1.475,270.67,98.2,170.95,1
68,1.493,270.67,98.2,170.95,1
69,1.512,270.67,98.2,170.95,1
70,1.544,270.67,98.2,170.95,1
71,1.566,128.4,52.59,74.76,1
72,1.585,128.4,52.59,74.76,1
73,1.602,128.4,52.59,74.76,1
74,1.62,128.4,52.59,74.76,1
75,1.638,128.4,52.59,74.76,1
76,1.656,128.4,52.59,74.76,1
77,1.675,128.4,52.59,74.76,1
78,1.698,131.45,9.68,120.76,1
79,1.716,131.45,9.68,120.76,1
80,1.734,131.45,9.68,120.76,1
81,1.753,131.45,9.68,120.76,1
82,1.771,131.45,9.68,120.76,1
83,1.792,131.45,9.68,120.76,1
84,1.811,125.95,10.53,114.41,1
85,1.832,125.95,10.53,114.41,1
86,1.851,125.95,10.53,114.41,1
87,1.868,125.95,10.53,114.41,1
88,1.888,125.95,10.53,114.41,1
89,1.908,92.8,10.27,81.03,1
90,1.93,92.8,10.27,81.03,1
91,1.948,92.8,10.27,81.03,1
92,1.976,92.8,10.27,81.03,1
93,1.992,92.8,10.27,81.03,1
94,2.016,88.82,8.51,78.83,1
95,2.035,88.82,8.51,78.83,1
96,2.051,88.82,8.51,78.83,1
97,2.069,88.82,8.51,78.83,1
98,2.085,88.82,8.51,78.83,1
99,2.111,95.95,11.82,83.13,1
100,2.129,95.95,11.82,83.13,1
101,2.158,95.95,11.82,83.13,1
102,2.175,95.95,11.82,83.13,1
103,2.194,95.95,11.82,83.13,1
104,2.214,104.19,12.59,90.6,1
105,2.231,104.19,12.59,90.6,1
106,2.248,104.19,12.59,90.6,1
