frame,elapsed_s,total_ms,det_ms,recog_ms,had_face
159,3.272,57.06,10.51,45.54,1
160,3.29,57.06,10.51,45.54,1
161,3.308,57.06,10.51,45.54,1
162,3.329,56.59,10.0,45.58,1
163,3.346,56.59,10.0,45.58,1
164,3.364,56.59,10.0,45.58,1
165,3.388,58.07,9.51,47.55,1
166,3.405,58.07,9.51,47.55,1
167,3.422,58.07,9.51,47.55,1
168,3.454,57.56,9.51,46.05,1
169,3.472,57.56,9.51,46.05,1
170,3.489,54.57,8.51,45.55,1
171,3.511,54.57,8.51,45.55,1
172,3.529,54.57,8.51,45.55,1
173,3.546,54.57,8.51,45.55,1
174,3.568,57.06,9.51,46.55,1
175,3.586,57.06,9.51,46.55,1
176,3.604,57.06,9.51,46.55,1
177,3.626,55.56,9.51,45.05,1
178,3.643,55.56,9.51,45.05,1
179,3.66,55.56,9.51,45.05,1
180,3.682,56.15,9.52,45.64,1
181,3.701,56.15,9.52,45.64,1
182,3.718,56.15,9.52,45.64,1
183,3.74,56.56,9.0,47.55,1
184,3.757,56.56,9.0,47.55,1
185,3.774,56.56,9.0,47.55,1
186,3.807,56.05,9.02,46.05,1
187,3.824,56.05,9.02,46.05,1
188,3.841,56.05,9.02,46.05,1
189,3.863,57.06,9.51,46.56,1
190,3.881,57.06,9.51,46.56,1
191,3.899,57.06,9.51,46.56,1
192,3.921,57.08,9.51,46.56,1
193,3.937,57.08,9.51,46.56,1
194,3.955,57.08,9.51,46.56,1
195,3.976,57.1,9.51,46.58,1
196,3.994,57.1,9.51,46.58,1
197,4.011,57.1,9.51,46.58,1
198,4.035,55.57,9.52,45.05,1
199,4.052,55.57,9.52,45.05,1
200,4.069,55.57,9.52,45.05,1
201,4.092,57.06,11.01,45.04,1
202,4.109,57.06,11.01,45.04,1
203,4.126,57.06,11.01,45.04,1
204,4.16,56.06,10.51,44.54,1
205,4.177,56.06,10.51,44.54,1
206,4.194,56.06,10.51,44.54,1
207,4.217,56.07,9.51,46.55,1
208,4.233,56.07,9.51,46.55,1
209,4.252,56.07,9.51,46.55,1
210,4.273,56.07,11.52,44.55,1
211,4.29,56.07,11.52,44.55,1
212,4.307,56.07,11.52,44.55,1
213,4.339,56.58,9.51,45.06,1
214,4.357,56.58,9.51,45.06,1
215,4.375,56.58,9.51,45.06,1
216,4.396,56.57,10.02,45.05,1
217,4.414,56.57,10.02,45.05,1
218,4.432,56.57,10.02,45.05,1
219,4.455,56.55,9.51,46.04,1
220,4.473,56.55,9.51,46.04,1
221,4.501,56.55,9.51,46.04,1
222,4.523,57.12,11.55,45.57,1
223,4.54,57.12,11.55,45.57,1
224,4.557,57.12,11.55,45.57,1
225,4.579,56.06,9.51,45.54,1
226,4.596,56.06,9.51,45.54,1
227,4.614,56.06,9.51,45.54,1
228,4.636,56.57,8.0,47.56,1
229,4.655,56.57,8.0,47.56,1
230,4.673,56.57,8.0,47.56,1
231,4.694,58.58,10.52,46.06,1
232,4.711,58.58,10.52,46.06,1
233,4.729,58.58,10.52,46.06,1
234,4.752,56.07,10.51,45.55,1
235,4.77,56.07,10.51,45.55,1
236,4.787,56.07,10.51,45.55,1
237,4.82,58.06,10.51,46.04,1
238,4.836,58.06,10.51,46.04,1
239,4.853,58.06,10.51,46.04,1
240,4.875,55.06,9.52,44.55,1
241,4.893,55.06,9.52,44.55,1
242,4.91,55.06,9.52,44.55,1
243,4.935,55.56,9.51,45.05,1
244,4.953,55.56,9.51,45.05,1
245,4.969,55.56,9.51,45.05,1
246,4.993,57.58,9.51,47.07,1
247,5.011,57.58,9.51,47.07,1
248,5.029,57.58,9.51,47.07,1
249,5.048,58.07,9.51,47.56,1
250,5.07,58.07,9.51,47.56,1
251,5.086,58.07,9.51,47.56,1
252,5.104,58.07,9.51,47.56,1
253,5.126,56.6,9.49,46.08,1
254,5.143,56.6,9.49,46.08,1
255,5.162,56.6,9.49,46.08,1
256,5.185,58.59,9.52,48.07,1
257,5.202,58.59,9.52,48.07,1
258,5.23,58.59,9.52,48.07,1
259,5.247,58.59,9.52,48.07,1
260,5.27,79.64,9.52,69.07,1
261,5.287,79.64,9.52,69.07,1
262,5.32,55.56,8.51,46.05,1
263,5.337,55.56,8.51,46.05,1
264,5.354,55.56,8.51,46.05,1
265,5.371,55.56,8.51,46.05,1
266,5.389,55.56,8.51,46.05,1
267,5.411,80.09,10.5,68.58,1
268,5.428,80.09,10.5,68.58,1
269,5.446,80.09,10.5,68.58,1
270,5.464,80.09,10.5,68.58,1
271,5.487,82.67,10.51,71.16,1
272,5.504,82.67,10.51,71.16,1
273,5.521,82.67,10.51,71.16,1
274,5.55,82.67,10.51,71.16,1
275,5.572,78.6,9.01,68.09,1
276,5.59,78.6,9.01,68.09,1
277,5.608,78.6,9.01,68.09,1
278,5.626,78.6,9.01,68.09,1
279,5.644,77.09,9.51,67.58,1
280,5.667,77.09,9.51,67.58,1
281,5.684,77.09,9.51,67.58,1
282,5.701,77.09,9.51,67.58,1
283,5.719,77.09,9.51,67.58,1
284,5.74,78.57,9.51,68.06,1
285,5.758,78.57,9.51,68.06,1
286,5.775,78.57,9.51,68.06,1
287,5.792,78.57,9.51,68.06,1
288,5.809,78.57,9.51,68.06,1
289,5.828,78.57,9.51,68.06,1
290,5.851,99.6,9.5,89.09,1
291,5.868,99.6,9.5,89.09,1
292,5.885,99.6,9.5,89.09,1
293,5.902,99.6,9.5,89.09,1
294,5.92,99.6,9.5,89.09,1
295,5.942,99.64,8.01,90.63,1
296,5.959,99.64,8.01,90.63,1
297,5.978,99.64,8.01,90.63,1
298,5.997,99.64,8.01,90.63,1
299,6.015,99.64,8.01,90.63,1
300,6.037,80.6,10.02,69.58,1
301,6.055,80.6,10.02,69.58,1
302,6.073,80.6,10.02,69.58,1
303,6.089,80.6,10.02,69.58,1
304,6.113,80.58,9.51,68.57,1
305,6.131,80.58,9.51,68.57,1
306,6.148,80.58,9.51,68.57,1
307,6.166,80.58,9.51,68.57,1
308,6.183,80.58,9.51,68.57,1
309,6.216,81.09,10.52,68.57,1
310,6.233,81.09,10.52,68.57,1
311,6.249,81.09,10.52,68.57,1
312,6.267,81.09,10.52,68.57,1
313,6.299,79.1,9.51,68.59,1
314,6.413,77.6,9.01,67.08,1
315,6.44,78.58,9.51,69.07,1
316,6.457,78.58,9.51,69.07,1
317,6.482,78.58,9.51,69.07,1
318,6.5,78.58,9.51,69.07,1
319,6.517,78.58,9.51,69.07,1
320,6.534,78.58,9.51,69.07,1
321,6.556,105.63,10.51,94.11,1
322,6.573,105.63,10.51,94.11,1
323,6.59,105.63,10.51,94.11,1
324,6.619,105.63,10.51,94.11,1
325,6.64,81.11,10.51,68.59,1
326,6.657,81.11,10.51,68.59,1
327,6.675,81.11,10.51,68.59,1
328,6.692,81.11,10.51,68.59,1
329,6.712,82.62,10.02,70.59,1
330,6.734,82.62,10.02,70.59,1
331,6.752,82.62,10.02,70.59,1
332,6.769,82.62,10.02,70.59,1
