frame,elapsed_s,total_ms,det_ms,recog_ms,had_face
1,0.623,0.0,0.0,0.0,0
2,0.645,0.0,0.0,0.0,0
3,0.665,0.0,0.0,0.0,0
4,0.683,0.0,0.0,0.0,0
5,0.711,0.0,0.0,0.0,0
6,0.729,0.0,0.0,0.0,0
7,0.747,0.0,0.0,0.0,0
8,0.765,0.0,0.0,0.0,0
9,0.783,0.0,0.0,0.0,0
10,0.805,0.0,0.0,0.0,0
11,0.827,0.0,0.0,0.0,0
12,0.846,0.0,0.0,0.0,0
13,0.864,0.0,0.0,0.0,0
14,0.882,0.0,0.0,0.0,0
15,0.899,0.0,0.0,0.0,0
16,0.918,0.0,0.0,0.0,0
17,0.935,0.0,0.0,0.0,0
18,0.953,0.0,0.0,0.0,0
19,0.977,0.0,0.0,0.0,0
20,0.996,0.0,0.0,0.0,0
21,1.013,0.0,0.0,0.0,0
22,1.032,0.0,0.0,0.0,0
23,1.049,0.0,0.0,0.0,0
24,1.068,0.0,0.0,0.0,0
25,1.102,108.11,40.79,66.32,1
26,1.135,108.11,40.79,66.32,1
27,1.158,56.49,9.82,45.67,1
28,1.175,56.49,9.82,45.67,1
29,1.208,57.39,9.75,46.64,1
30,1.227,57.39,9.75,46.64,1
31,1.244,57.39,9.75,46.64,1
32,1.265,57.01,10.6,45.41,1
33,1.283,57.01,10.6,45.41,1
34,1.301,57.01,10.6,45.41,1
35,1.333,57.04,10.52,46.52,1
36,1.352,57.04,10.52,46.52,1
37,1.369,57.04,10.52,46.52,1
38,1.389,57.04,10.52,46.52,1
39,1.412,80.12,10.8,69.31,1
40,1.431,80.12,10.8,69.31,1
41,1.449,80.12,10.8,69.31,1
42,1.481,60.44,11.92,47.53,1
43,1.499,60.44,11.92,47.53,1
44,1.528,60.44,11.92,47.53,1
45,1.553,60.07,9.6,50.47,1
46,1.572,60.07,9.6,50.47,1
47,1.589,60.07,9.6,50.47,1
48,1.611,63.08,11.5,50.57,1
49,1.63,63.08,11.5,50.57,1
50,1.647,63.08,11.5,50.57,1
51,1.669,59.43,10.05,47.38,1
52,1.688,59.43,10.05,47.38,1
53,1.706,59.43,10.05,47.38,1
54,1.724,59.18,11.42,47.26,1
55,1.747,59.18,11.42,47.26,1
56,1.764,59.18,11.42,47.26,1
57,1.781,59.18,11.42,47.26,1
58,1.813,59.87,9.52,46.4,1
59,1.831,59.87,9.52,46.4,1
60,1.854,55.21,8.57,45.53,1
61,1.872,55.21,8.57,45.53,1
62,1.891,55.21,8.57,45.53,1
63,1.909,55.21,8.57,45.53,1
64,1.931,62.46,13.78,47.68,1
65,1.948,62.46,13.78,47.68,1
66,1.966,62.46,13.78,47.68,1
67,1.99,59.0,9.51,48.49,1
68,2.008,59.0,9.51,48.49,1
69,2.026,59.0,9.51,48.49,1
70,2.06,57.76,8.51,48.25,1
71,2.077,57.76,8.51,48.25,1
72,2.111,56.62,9.98,45.64,1
73,2.13,56.62,9.98,45.64,1
74,2.149,56.62,9.98,45.64,1
75,2.17,59.34,10.18,49.15,1
76,2.188,59.34,10.18,49.15,1
77,2.207,59.34,10.18,49.15,1
78,2.23,58.08,10.01,47.07,1
79,2.247,58.08,10.01,47.07,1
80,2.276,58.08,10.01,47.07,1
81,2.297,59.08,10.53,47.56,1
82,2.317,59.08,10.53,47.56,1
83,2.335,59.08,10.53,47.56,1
84,2.355,59.08,10.53,47.56,1
85,2.379,70.5,10.31,57.55,1
86,2.398,70.5,10.31,57.55,1
87,2.414,70.5,10.31,57.55,1
88,2.448,61.05,10.19,48.57,1
89,2.464,61.05,10.19,48.57,1
90,2.498,57.55,10.27,47.28,1
91,2.516,57.55,10.27,47.28,1
92,2.533,57.55,10.27,47.28,1
93,2.556,60.39,9.79,49.1,1
94,2.574,60.39,9.79,49.1,1
95,2.591,60.39,9.79,49.1,1
96,2.608,60.39,9.79,49.1,1
97,2.64,62.13,13.52,46.1,1
98,2.656,62.13,13.52,46.1,1
99,2.68,57.06,9.24,46.81,1
100,2.697,57.06,9.24,46.81,1
101,2.715,57.06,9.24,46.81,1
102,2.733,57.06,9.24,46.81,1
103,2.757,59.29,12.2,46.09,1
104,2.774,59.29,12.2,46.09,1
105,2.792,59.29,12.2,46.09,1
106,2.814,59.07,9.51,49.56,1
107,2.831,59.07,9.51,49.56,1
108,2.85,59.07,9.51,49.56,1
109,2.872,58.65,10.6,46.78,1
110,2.89,58.65,10.6,46.78,1
111,2.918,58.65,10.6,46.78,1
112,2.941,57.26,10.44,45.82,1
113,2.958,57.26,10.44,45.82,1
114,2.976,57.26,10.44,45.82,1
115,3.009,56.65,9.73,46.92,1
116,3.027,56.65,9.73,46.92,1
117,3.044,56.65,9.73,46.92,1
118,3.076,59.52,9.61,47.61,1
119,3.093,59.52,9.61,47.61,1
120,3.126,55.94,10.11,44.83,1
121,3.143,55.94,10.11,44.83,1
122,3.177,55.7,8.51,46.18,1
123,3.194,55.7,8.51,46.18,1
124,3.212,55.7,8.51,46.18,1
125,3.245,56.77,10.19,45.58,1
126,3.262,56.77,10.19,45.58,1
