frame,elapsed_s,total_ms,det_ms,recog_ms,had_face
1,13.651,0.0,0.0,0.0,0
2,13.67,0.0,0.0,0.0,0
3,13.675,0.0,0.0,0.0,0
4,13.683,0.0,0.0,0.0,0
5,13.689,0.0,0.0,0.0,0
6,13.695,0.0,0.0,0.0,0
7,13.701,0.0,0.0,0.0,0
8,13.707,0.0,0.0,0.0,0
9,13.713,0.0,0.0,0.0,0
10,13.718,0.0,0.0,0.0,0
11,13.725,0.0,0.0,0.0,0
12,13.731,0.0,0.0,0.0,0
13,13.736,0.0,0.0,0.0,0
14,13.743,0.0,0.0,0.0,0
15,13.748,0.0,0.0,0.0,0
16,13.756,0.0,0.0,0.0,0
17,13.762,0.0,0.0,0.0,0
18,13.768,0.0,0.0,0.0,0
19,13.775,0.0,0.0,0.0,0
20,13.781,0.0,0.0,0.0,0
21,13.787,0.0,0.0,0.0,0
22,13.792,0.0,0.0,0.0,0
23,13.807,0.0,0.0,0.0,0
24,13.812,0.0,0.0,0.0,0
25,13.818,0.0,0.0,0.0,0
26,13.824,0.0,0.0,0.0,0
27,13.828,69.67,67.67,0.0,0
28,13.841,26.74,24.73,0.0,0
29,13.846,26.74,24.73,0.0,0
30,13.851,26.74,24.73,0.0,0
31,13.856,26.74,24.73,0.0,0
32,13.861,26.74,24.73,0.0,0
33,13.867,29.59,27.59,0.0,0
34,13.877,29.59,27.59,0.0,0
35,13.883,29.59,27.59,0.0,0
36,13.889,29.59,27.59,0.0,0
37,13.895,29.59,27.59,0.0,0
38,13.9,29.59,27.59,0.0,0
39,13.906,27.9,24.89,0.0,0
40,13.918,27.9,24.89,0.0,0
41,13.923,27.9,24.89,0.0,0
42,13.928,27.9,24.89,0.0,0
43,13.933,27.9,24.89,0.0,0
44,13.939,27.9,24.89,0.0,0
45,13.945,27.9,24.89,0.0,0
46,13.95,36.33,33.81,0.0,0
47,13.962,36.33,33.81,0.0,0
48,13.966,36.33,33.81,0.0,0
49,13.973,36.33,33.81,0.0,0
50,13.978,36.33,33.81,0.0,0
51,13.983,36.33,33.81,0.0,0
52,13.99,27.13,25.7,0.0,0
53,14.001,27.13,25.7,0.0,0
54,14.007,27.13,25.7,0.0,0
55,14.012,27.13,25.7,0.0,0
56,14.018,27.13,25.7,0.0,0
57,14.023,27.13,25.7,0.0,0
58,14.033,29.16,28.02,0.0,0
59,14.039,29.16,28.02,0.0,0
60,14.044,29.16,28.02,0.0,0
61,14.048,29.16,28.02,0.0,0
62,14.056,29.16,28.02,0.0,0
63,14.06,29.16,28.02,0.0,0
64,14.067,32.62,30.26,0.0,0
65,14.073,32.62,30.26,0.0,0
66,14.084,32.62,30.26,0.0,0
67,14.09,32.62,30.26,0.0,0
68,14.095,32.62,30.26,0.0,0
69,14.099,32.62,30.26,0.0,0
70,14.105,32.62,30.26,0.0,0
71,14.11,26.53,25.53,0.0,0
72,14.115,26.53,25.53,0.0,0
73,14.128,26.53,25.53,0.0,0
74,14.133,26.53,25.53,0.0,0
75,14.138,26.53,25.53,0.0,0
76,14.144,26.53,25.53,0.0,0
77,14.149,26.17,24.17,0.0,0
78,14.161,26.17,24.17,0.0,0
79,14.166,26.17,24.17,0.0,0
80,14.171,26.17,24.17,0.0,0
81,14.178,26.17,24.17,0.0,0
82,14.182,26.17,24.17,0.0,0
83,14.189,26.17,24.17,0.0,0
84,14.199,29.37,25.82,0.0,0
85,14.204,29.37,25.82,0.0,0
86,14.21,29.37,25.82,0.0,0
87,14.215,29.37,25.82,0.0,0
88,14.219,29.37,25.82,0.0,0
89,14.225,29.37,25.82,0.0,0
90,14.231,29.37,25.82,0.0,0
91,14.236,35.05,33.06,0.0,0
92,14.247,35.05,33.06,0.0,0
93,14.251,35.05,33.06,0.0,0
94,14.258,35.05,33.06,0.0,0
95,14.264,35.05,33.06,0.0,0
96,14.269,35.05,33.06,0.0,0
97,14.274,35.05,33.06,0.0,0
98,14.279,35.05,33.06,0.0,0
99,14.285,35.05,33.06,0.0,0
100,14.29,35.05,33.06,0.0,0
101,14.296,35.05,33.06,0.0,0
102,14.3,35.05,33.06,0.0,0
103,14.306,35.05,33.06,0.0,0
104,14.311,35.05,33.06,0.0,0
105,14.315,35.05,33.06,0.0,0
106,14.323,35.05,33.06,0.0,0
107,14.327,35.05,33.06,0.0,0
108,14.332,35.05,33.06,0.0,0
109,14.345,91.57,32.52,57.54,1
110,14.395,38.86,37.85,0.0,0
111,14.401,38.86,37.85,0.0,0
112,14.407,38.86,37.85,0.0,0
113,14.413,38.86,37.85,0.0,0
114,14.418,38.86,37.85,0.0,0
115,14.423,38.86,37.85,0.0,0
116,14.428,38.86,37.85,0.0,0
117,14.432,38.86,37.85,0.0,0
118,14.439,38.86,37.85,0.0,0
119,14.443,38.86,37.85,0.0,0
120,14.448,57.64,56.64,0.0,0
121,14.461,57.64,56.64,0.0,0
122,14.466,57.64,56.64,0.0,0
123,14.472,57.64,56.64,0.0,0
124,14.476,57.64,56.64,0.0,0
125,14.482,28.45,26.45,0.0,0
126,14.494,28.45,26.45,0.0,0
127,14.498,28.45,26.45,0.0,0
128,14.504,28.45,26.45,0.0,0
129,14.509,28.45,26.45,0.0,0
130,14.521,22.05,19.77,0.0,0
131,14.526,22.05,19.77,0.0,0
132,14.531,22.05,19.77,0.0,0
133,14.538,22.05,19.77,0.0,0
134,14.543,25.51,23.51,0.0,0
135,14.554,25.51,23.51,0.0,0
136,14.558,25.51,23.51,0.0,0
137,14.563,25.51,23.51,0.0,0
138,14.569,25.51,23.51,0.0,0
139,14.575,23.89,22.45,0.0,0
140,14.586,23.89,22.45,0.0,0
141,14.591,23.89,22.45,0.0,0
142,14.596,23.89,22.45,0.0,0
143,14.601,23.89,22.45,0.0,0
144,14.606,23.89,22.45,0.0,0
145,14.611,23.89,22.45,0.0,0
146,14.617,34.65,31.8,0.0,0
147,14.622,34.65,31.8,0.0,0
148,14.633,34.65,31.8,0.0,0
149,14.64,34.65,31.8,0.0,0
150,14.645,34.65,31.8,0.0,0
151,14.65,34.65,31.8,0.0,0
