frame,elapsed_s,total_ms,det_ms,recog_ms,had_face
1,0.123,0.0,0.0,0.0,0
2,0.137,0.0,0.0,0.0,0
3,0.156,0.0,0.0,0.0,0
4,0.176,0.0,0.0,0.0,0
5,0.192,0.0,0.0,0.0,0
6,0.211,0.0,0.0,0.0,0
7,0.228,0.0,0.0,0.0,0
8,0.246,0.0,0.0,0.0,0
9,0.265,0.0,0.0,0.0,0
10,0.281,0.0,0.0,0.0,0
11,0.311,0.0,0.0,0.0,0
12,0.329,0.0,0.0,0.0,0
13,0.358,0.0,0.0,0.0,0
14,0.389,0.0,0.0,0.0,0
15,0.408,0.0,0.0,0.0,0
16,0.427,0.0,0.0,0.0,0
17,0.446,0.0,0.0,0.0,0
18,0.465,0.0,0.0,0.0,0
19,0.484,0.0,0.0,0.0,0
20,0.501,0.0,0.0,0.0,0
21,0.522,0.0,0.0,0.0,0
22,0.54,0.0,0.0,0.0,0
23,0.558,0.0,0.0,0.0,0
24,0.577,0.0,0.0,0.0,0
25,0.595,0.0,0.0,0.0,0
26,0.614,0.0,0.0,0.0,0
27,0.632,0.0,0.0,0.0,0
28,0.651,0.0,0.0,0.0,0
29,0.669,0.0,0.0,0.0,0
30,0.687,0.0,0.0,0.0,0
31,0.705,0.0,0.0,0.0,0
32,0.725,0.0,0.0,0.0,0
33,0.742,0.0,0.0,0.0,0
34,0.759,0.0,0.0,0.0,0
35,0.778,0.0,0.0,0.0,0
36,0.795,0.0,0.0,0.0,0
37,0.811,0.0,0.0,0.0,0
38,0.829,0.0,0.0,0.0,0
39,0.858,0.0,0.0,0.0,0
40,0.875,0.0,0.0,0.0,0
41,0.898,0.0,0.0,0.0,0
42,0.915,0.0,0.0,0.0,0
43,0.933,0.0,0.0,0.0,0
44,0.951,0.0,0.0,0.0,0
45,0.97,0.0,0.0,0.0,0
46,0.988,0.0,0.0,0.0,0
47,1.012,98.86,12.73,85.13,1
48,1.041,98.86,12.73,85.13,1
49,1.059,98.86,12.73,85.13,1
50,1.078,98.86,12.73,85.13,1
51,1.097,87.5,10.67,76.83,1
52,1.116,87.5,10.67,76.83,1
53,1.141,87.5,10.67,76.83,1
54,1.158,87.5,10.67,76.83,1
55,1.176,87.5,10.67,76.83,1
56,1.194,87.5,10.67,76.83,1
57,1.211,87.5,10.67,76.83,1
58,1.228,81.54,9.51,71.03,1
59,1.245,81.54,9.51,71.03,1
60,1.262,81.54,9.51,71.03,1
61,1.284,81.54,9.51,71.03,1
62,1.304,81.54,9.51,71.03,1
63,1.321,81.54,9.51,71.03,1
64,1.338,81.54,9.51,71.03,1
65,1.356,81.54,9.51,71.03,1
66,1.373,81.54,9.51,71.03,1
67,1.396,120.36,10.53,109.83,1
68,1.415,120.36,10.53,109.83,1
69,1.431,120.36,10.53,109.83,1
70,1.459,120.36,10.53,109.83,1
71,1.477,120.36,10.53,109.83,1
72,1.496,120.36,10.53,109.83,1
73,1.512,120.36,10.53,109.83,1
74,1.546,129.9,11.51,117.39,1
75,1.563,129.9,11.51,117.39,1
76,1.581,129.9,11.51,117.39,1
77,1.599,129.9,11.51,117.39,1
78,1.618,129.9,11.51,117.39,1
79,1.635,129.9,11.51,117.39,1
80,1.654,129.9,11.51,117.39,1
81,1.677,140.83,9.51,130.31,1
82,1.696,140.83,9.51,130.31,1
83,1.715,140.83,9.51,130.31,1
84,1.732,140.83,9.51,130.31,1
85,1.751,140.83,9.51,130.31,1
86,1.77,96.33,11.17,84.16,1
87,1.786,96.33,11.17,84.16,1
88,1.803,96.33,11.17,84.16,1
89,1.825,96.33,11.17,84.16,1
